"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 22:24:13 EET 2020","Sun Jan 12 22:25:12 EET 2020","58482","","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","","[Venus] User navigates to Pants PLP and add random product to back to check stability of PWA","","[Venus] User navigates to Pants PLP and add random product to back to check stability of PWA","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ATB.feature:228"
"passed","Sun Jan 12 22:07:57 EET 2020","Sun Jan 12 22:09:24 EET 2020","87061","","As a customer, I can see the number of cart items currently in my shopping cart.","","[Venus] User can see number of items currently in his shopping cart","","[Venus] User can see number of items currently in his shopping cart","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Shop_Bag_Items.feature:74"
"passed","Sun Jan 12 22:49:53 EET 2020","Sun Jan 12 22:51:00 EET 2020","67300","","As a customer, I can select the size and width of the product.","","[Venus] User can select Band size on special product page","","[Venus] User can select Band size on special product page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_SelectFeat.feature:97"
"passed","Sun Jan 12 22:09:41 EET 2020","Sun Jan 12 22:09:50 EET 2020","9166","","As a customer, I can submit a search query in the input field and be taken to a search results page.","","[Venus] User can see ""No results"" search results page if searching some crazy term","","[Venus] User can see ""No results"" search results page if searching some crazy term","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Srch_Input.feature:142"
"passed","Sun Jan 12 22:53:59 EET 2020","Sun Jan 12 22:55:19 EET 2020","80936","","As a customer, I can filter search result product listing by all available options.","","[Venus] User can filter search result product listing by multiple available options.","","[Venus] User can filter search result product listing by multiple available options.","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PLP Product Listing Page/PLP_Filter.feature:374"
"passed","Sun Jan 12 22:03:53 EET 2020","Sun Jan 12 22:03:58 EET 2020","4532","","As a customer, I should see a quick navigation bar underneath the main header which allows me to jump to relevant sections. This quick navigation bar includes the following:","","[Venus] User can see a quick navigation bar underneath the main header which allows me to jump to relevant sections.","","[Venus] User can see a quick navigation bar underneath the main header which allows me to jump to relevant sections.","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Quick_Nav.feature:62"
"passed","Sun Jan 12 22:26:56 EET 2020","Sun Jan 12 22:29:24 EET 2020","147881","","As a customer, I can select the available colors for the product.","","[Venus] User select color on product page","","[Venus] User select color on product page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Colors.feature:23"
"passed","Sun Jan 12 22:48:04 EET 2020","Sun Jan 12 22:48:58 EET 2020","54181","","As a customer, I can select the size and width of the product.","","[Venus] User can select Waist Size on special product page","","[Venus] User can select Waist Size on special product page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_SelectFeat.feature:79"
"passed","Sun Jan 12 21:57:47 EET 2020","Sun Jan 12 21:59:28 EET 2020","101179","","As a customer, I need have a list of quick links available on the footer.","","[Venus] User can see a list of quick links available on the footer.","","[Venus] User can see a list of quick links available on the footer.","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Footer/FTR_Quick_Links.feature:36"
"passed","Sun Jan 12 22:09:24 EET 2020","Sun Jan 12 22:09:31 EET 2020","7025","","As a customer I want to see ""promo code"" or ""special offer"" recommendation information on homepage","","[Venus] User can see ""FS75"" promo code information on homepage (promo code is changing time to time)","","[Venus] User can see ""FS75"" promo code information on homepage (promo code is changing time to time)","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_SpecialOffers.feature:55"
"passed","Sun Jan 12 23:24:39 EET 2020","Sun Jan 12 23:25:54 EET 2020","74766","","As user I want to see product landing page and interact with elements on this page","","[Venus] User select color on product landing page","","[Venus] User select color on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:148"
"passed","Sun Jan 12 23:27:29 EET 2020","Sun Jan 12 23:27:43 EET 2020","14192","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can see availability message after selecting required options of product on product landing page","","[Venus] User can see availability message after selecting required options of product on product landing page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:207"
"passed","Sun Jan 12 22:10:00 EET 2020","Sun Jan 12 22:11:16 EET 2020","76207","","As a customer, I can submit a search query in the input field and be taken to a search results page.","","[Venus] User can search items up to 10 times by typing product SKU in search query","","[Venus] User can search items up to 10 times by typing product SKU in search query","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Srch_Input.feature:159"
"passed","Sun Jan 12 22:33:09 EET 2020","Sun Jan 12 22:34:12 EET 2020","63483","","As a customer, I can view the product details and description content.","","[Venus] User can switch between product description tabs and see description information","","[Venus] User can switch between product description tabs and see description information","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Desc.feature:79"
